Date,Open,High,Low,Close,Adj Close,Volume
2020-10-14,1035.000000,1080.000000,1030.000000,1065.000000,1065.000000,186576800
2020-10-15,1065.000000,1090.000000,1030.000000,1035.000000,1035.000000,159965400
2020-10-16,1040.000000,1050.000000,1020.000000,1030.000000,1030.000000,86552600
2020-10-19,1040.000000,1065.000000,1035.000000,1065.000000,1065.000000,96583500
2020-10-20,1065.000000,1080.000000,1045.000000,1045.000000,1045.000000,123254200
2020-10-21,1055.000000,1070.000000,1050.000000,1060.000000,1060.000000,76196800
2020-10-22,1055.000000,1090.000000,1040.000000,1060.000000,1060.000000,201741400
2020-10-23,1070.000000,1075.000000,1055.000000,1065.000000,1065.000000,64536300
2020-10-26,1065.000000,1105.000000,1065.000000,1105.000000,1105.000000,187108900
2020-10-27,1105.000000,1115.000000,1075.000000,1075.000000,1075.000000,158392800
2020-11-02,1050.000000,1070.000000,1045.000000,1060.000000,1060.000000,94255000
2020-11-03,1075.000000,1085.000000,1060.000000,1075.000000,1075.000000,80932200
2020-11-04,1085.000000,1090.000000,1050.000000,1050.000000,1050.000000,71755300
2020-11-05,1065.000000,1085.000000,1065.000000,1080.000000,1080.000000,62948400
2020-11-06,1090.000000,1110.000000,1070.000000,1100.000000,1100.000000,124221100
2020-11-09,1115.000000,1125.000000,1100.000000,1125.000000,1125.000000,128688800
2020-11-10,1160.000000,1190.000000,1140.000000,1175.000000,1175.000000,239757500
2020-11-11,1180.000000,1230.000000,1170.000000,1205.000000,1205.000000,217771400
2020-11-12,1205.000000,1210.000000,1165.000000,1175.000000,1175.000000,117718300
2020-11-13,1165.000000,1185.000000,1160.000000,1180.000000,1180.000000,73550300
2020-11-16,1190.000000,1220.000000,1190.000000,1215.000000,1215.000000,117888500
2020-11-17,1235.000000,1285.000000,1225.000000,1270.000000,1270.000000,273905900
2020-11-18,1280.000000,1370.000000,1275.000000,1365.000000,1365.000000,478470000
2020-11-19,1365.000000,1385.000000,1335.000000,1355.000000,1355.000000,197300700
2020-11-20,1355.000000,1410.000000,1330.000000,1405.000000,1405.000000,329589900
2020-11-23,1415.000000,1445.000000,1410.000000,1425.000000,1425.000000,144114800
2020-11-24,1450.000000,1455.000000,1425.000000,1440.000000,1440.000000,121087300
2020-11-25,1460.000000,1475.000000,1390.000000,1415.000000,1415.000000,194352500
2020-11-26,1415.000000,1430.000000,1405.000000,1430.000000,1430.000000,50964700
2020-11-27,1435.000000,1500.000000,1420.000000,1490.000000,1490.000000,220098800
2020-11-30,1490.000000,1490.000000,1390.000000,1390.000000,1390.000000,405827600
2020-12-01,1390.000000,1435.000000,1335.000000,1390.000000,1390.000000,357636100
2020-12-02,1410.000000,1445.000000,1390.000000,1440.000000,1440.000000,244197000
2020-12-03,1460.000000,1485.000000,1450.000000,1455.000000,1455.000000,210592200
2020-12-04,1460.000000,1465.000000,1430.000000,1450.000000,1450.000000,104147200
2020-12-07,1475.000000,1480.000000,1455.000000,1465.000000,1465.000000,116680400
2020-12-08,1490.000000,1710.000000,1470.000000,1690.000000,1690.000000,825987000
2020-12-10,1730.000000,1735.000000,1630.000000,1670.000000,1670.000000,407318000
2020-12-11,1700.000000,1715.000000,1640.000000,1655.000000,1655.000000,203256500
2020-12-14,1670.000000,1730.000000,1650.000000,1715.000000,1715.000000,297419500
2020-12-15,1725.000000,1835.000000,1695.000000,1790.000000,1790.000000,461332500
2020-12-16,1800.000000,1885.000000,1795.000000,1810.000000,1810.000000,452252500
2020-12-17,1825.000000,1840.000000,1765.000000,1790.000000,1790.000000,207152200
2020-12-18,1790.000000,1825.000000,1755.000000,1790.000000,1790.000000,165406100
2020-12-21,1800.000000,1895.000000,1790.000000,1795.000000,1795.000000,387447200
2020-12-22,1790.000000,1795.000000,1670.000000,1680.000000,1680.000000,350302700
2020-12-23,1700.000000,1745.000000,1610.000000,1650.000000,1650.000000,302781800
2020-12-28,1690.000000,1775.000000,1630.000000,1770.000000,1770.000000,362172200
2020-12-29,1800.000000,1810.000000,1720.000000,1725.000000,1725.000000,266567100
2020-12-30,1730.000000,1740.000000,1655.000000,1655.000000,1655.000000,238553400
2021-01-04,1540.000000,1585.000000,1540.000000,1540.000000,1540.000000,791375200
2021-01-05,1540.000000,1640.000000,1520.000000,1600.000000,1600.000000,715746400
2021-01-06,1620.000000,1630.000000,1515.000000,1560.000000,1560.000000,288875700
2021-01-07,1560.000000,1600.000000,1555.000000,1570.000000,1570.000000,176961400
2021-01-08,1630.000000,1710.000000,1630.000000,1640.000000,1640.000000,544955500
2021-01-11,1630.000000,1655.000000,1620.000000,1625.000000,1625.000000,164191900
2021-01-12,1630.000000,1645.000000,1600.000000,1610.000000,1610.000000,128221000
2021-01-13,1620.000000,1645.000000,1605.000000,1615.000000,1615.000000,153048100
2021-01-14,1620.000000,1865.000000,1590.000000,1810.000000,1810.000000,1069873000
2021-01-15,1830.000000,1845.000000,1770.000000,1775.000000,1775.000000,623839700
2021-01-18,1775.000000,1880.000000,1735.000000,1795.000000,1795.000000,654162900
2021-01-19,1810.000000,1820.000000,1670.000000,1705.000000,1705.000000,366089800
2021-01-20,1705.000000,1765.000000,1685.000000,1735.000000,1735.000000,207435600
2021-01-21,1760.000000,1820.000000,1710.000000,1765.000000,1765.000000,447066900
2021-01-22,1765.000000,1770.000000,1675.000000,1680.000000,1680.000000,313780100
2021-01-25,1680.000000,1680.000000,1605.000000,1620.000000,1620.000000,167839600
2021-01-26,1625.000000,1660.000000,1510.000000,1535.000000,1535.000000,220785000
2021-01-27,1540.000000,1555.000000,1440.000000,1485.000000,1485.000000,292012100
2021-01-28,1455.000000,1515.000000,1385.000000,1390.000000,1390.000000,321100400
2021-01-29,1410.000000,1435.000000,1305.000000,1345.000000,1345.000000,292962600
2021-02-01,1345.000000,1470.000000,1270.000000,1455.000000,1455.000000,397901900
2021-02-02,1480.000000,1505.000000,1440.000000,1470.000000,1470.000000,264116900
2021-02-03,1470.000000,1540.000000,1445.000000,1485.000000,1485.000000,245625300
2021-02-04,1490.000000,1505.000000,1450.000000,1460.000000,1460.000000,106027200
2021-02-05,1480.000000,1490.000000,1460.000000,1475.000000,1475.000000,57651500
2021-02-08,1490.000000,1520.000000,1485.000000,1495.000000,1495.000000,108385200
2021-02-09,1505.000000,1515.000000,1425.000000,1430.000000,1430.000000,191691500
2021-02-10,1440.000000,1460.000000,1395.000000,1405.000000,1405.000000,159003900
2021-02-11,1410.000000,1445.000000,1395.000000,1420.000000,1420.000000,116525400
2021-02-15,1435.000000,1525.000000,1435.000000,1520.000000,1520.000000,231361500
2021-02-16,1530.000000,1545.000000,1500.000000,1505.000000,1505.000000,169849400
2021-02-17,1505.000000,1535.000000,1455.000000,1465.000000,1465.000000,184842600
2021-02-18,1475.000000,1485.000000,1445.000000,1450.000000,1450.000000,54961000
2021-02-19,1450.000000,1460.000000,1425.000000,1450.000000,1450.000000,50215500
2021-02-22,1470.000000,1475.000000,1440.000000,1455.000000,1455.000000,63832600
2021-02-23,1470.000000,1470.000000,1445.000000,1450.000000,1450.000000,43559300
2021-02-24,1465.000000,1475.000000,1415.000000,1425.000000,1425.000000,82907500
2021-02-25,1450.000000,1475.000000,1440.000000,1455.000000,1455.000000,84173200
2021-02-26,1430.000000,1455.000000,1420.000000,1440.000000,1440.000000,100884800
2021-03-01,1450.000000,1470.000000,1440.000000,1460.000000,1460.000000,57604800
2021-03-02,1475.000000,1515.000000,1460.000000,1470.000000,1470.000000,180378400
2021-03-03,1480.000000,1485.000000,1455.000000,1465.000000,1465.000000,57605600
2021-03-04,1465.000000,1465.000000,1420.000000,1425.000000,1425.000000,100955400
2021-03-05,1420.000000,1430.000000,1395.000000,1400.000000,1400.000000,100872900
2021-03-08,1420.000000,1430.000000,1405.000000,1410.000000,1410.000000,47164900
2021-03-09,1415.000000,1425.000000,1370.000000,1375.000000,1375.000000,72341100
2021-03-10,1390.000000,1400.000000,1380.000000,1385.000000,1385.000000,34040000
2021-03-12,1395.000000,1425.000000,1395.000000,1410.000000,1410.000000,43481600
2021-03-15,1425.000000,1430.000000,1395.000000,1410.000000,1410.000000,44187900
2021-03-16,1420.000000,1420.000000,1390.000000,1390.000000,1390.000000,41625200
2021-03-17,1390.000000,1405.000000,1380.000000,1385.000000,1385.000000,48007400
2021-03-18,1395.000000,1415.000000,1395.000000,1405.000000,1405.000000,60249400
2021-03-19,1400.000000,1425.000000,1375.000000,1425.000000,1425.000000,101386300
2021-03-22,1420.000000,1425.000000,1390.000000,1400.000000,1400.000000,43909700
2021-03-23,1400.000000,1410.000000,1375.000000,1380.000000,1380.000000,45027500
2021-03-24,1370.000000,1380.000000,1355.000000,1360.000000,1360.000000,44223800
2021-03-25,1350.000000,1370.000000,1310.000000,1325.000000,1325.000000,69729600
2021-03-26,1330.000000,1370.000000,1325.000000,1360.000000,1360.000000,45416100
2021-03-29,1370.000000,1405.000000,1360.000000,1375.000000,1375.000000,58579800
2021-03-30,1380.000000,1385.000000,1325.000000,1325.000000,1325.000000,50768300
2021-03-31,1325.000000,1340.000000,1290.000000,1315.000000,1315.000000,70743800
2021-04-01,1325.000000,1330.000000,1300.000000,1315.000000,1315.000000,30487300
2021-04-05,1330.000000,1335.000000,1270.000000,1280.000000,1280.000000,61313000
2021-04-06,1285.000000,1295.000000,1270.000000,1295.000000,1295.000000,25688200
2021-04-07,1295.000000,1305.000000,1285.000000,1300.000000,1300.000000,27802300
2021-04-08,1295.000000,1305.000000,1290.000000,1300.000000,1300.000000,34064200
2021-04-09,1305.000000,1345.000000,1300.000000,1320.000000,1320.000000,55188500
2021-04-12,1275.000000,1275.000000,1230.000000,1230.000000,1230.000000,144801500
2021-04-13,1210.000000,1210.000000,1145.000000,1180.000000,1180.000000,199391700
2021-04-14,1195.000000,1215.000000,1180.000000,1210.000000,1210.000000,107026600
2021-04-15,1215.000000,1220.000000,1190.000000,1205.000000,1205.000000,49738200
2021-04-16,1205.000000,1210.000000,1170.000000,1175.000000,1175.000000,68685200
2021-04-19,1175.000000,1205.000000,1175.000000,1190.000000,1190.000000,55559900
2021-04-20,1195.000000,1205.000000,1180.000000,1200.000000,1200.000000,49714800
2021-04-21,1200.000000,1265.000000,1190.000000,1250.000000,1250.000000,138345500
2021-04-22,1260.000000,1270.000000,1220.000000,1220.000000,1220.000000,54517500
2021-04-23,1215.000000,1250.000000,1200.000000,1230.000000,1230.000000,55638600
2021-04-26,1235.000000,1240.000000,1200.000000,1205.000000,1205.000000,36580200
2021-04-27,1210.000000,1215.000000,1185.000000,1200.000000,1200.000000,30873000
2021-04-28,1205.000000,1280.000000,1190.000000,1260.000000,1260.000000,97636700
2021-04-29,1265.000000,1265.000000,1230.000000,1230.000000,1230.000000,69509600
2021-04-30,1230.000000,1235.000000,1205.000000,1225.000000,1225.000000,47570500
2021-05-03,1240.000000,1255.000000,1225.000000,1245.000000,1245.000000,70588900
2021-05-04,1255.000000,1260.000000,1225.000000,1235.000000,1235.000000,63654400
2021-05-05,1245.000000,1275.000000,1235.000000,1250.000000,1250.000000,73211600
2021-05-06,1250.000000,1280.000000,1250.000000,1255.000000,1255.000000,49593700
2021-05-07,1265.000000,1270.000000,1230.000000,1230.000000,1230.000000,37403000
2021-05-10,1235.000000,1245.000000,1230.000000,1240.000000,1240.000000,27144400
2021-05-11,1235.000000,1235.000000,1210.000000,1215.000000,1215.000000,38890700
2021-05-17,1190.000000,1200.000000,1130.000000,1130.000000,1130.000000,317869800
2021-05-18,1115.000000,1150.000000,1105.000000,1145.000000,1145.000000,107898100
2021-05-19,1140.000000,1140.000000,1100.000000,1110.000000,1110.000000,80498400
2021-05-20,1110.000000,1130.000000,1085.000000,1090.000000,1090.000000,82083200
2021-05-21,1100.000000,1120.000000,1085.000000,1105.000000,1105.000000,82118100
2021-05-24,1105.000000,1115.000000,1055.000000,1055.000000,1055.000000,105360700
2021-05-25,1065.000000,1130.000000,1060.000000,1100.000000,1100.000000,220684200
2021-05-27,1105.000000,1160.000000,1105.000000,1120.000000,1120.000000,980862100
2021-05-28,1130.000000,1165.000000,1115.000000,1130.000000,1130.000000,238325700
2021-05-31,1135.000000,1150.000000,1085.000000,1115.000000,1115.000000,335051100
2021-06-02,1130.000000,1210.000000,1125.000000,1200.000000,1200.000000,457016300
2021-06-03,1210.000000,1225.000000,1180.000000,1180.000000,1180.000000,165465200
2021-06-04,1180.000000,1205.000000,1165.000000,1170.000000,1170.000000,153454900
2021-06-07,1175.000000,1185.000000,1150.000000,1160.000000,1160.000000,115516800
2021-06-08,1160.000000,1180.000000,1120.000000,1125.000000,1125.000000,185689600
2021-06-09,1125.000000,1135.000000,1110.000000,1120.000000,1120.000000,92483200
2021-06-10,1125.000000,1150.000000,1110.000000,1150.000000,1150.000000,185853800
2021-06-11,1180.000000,1250.000000,1175.000000,1215.000000,1215.000000,559541700
2021-06-14,1215.000000,1225.000000,1165.000000,1165.000000,1165.000000,223936400
2021-06-15,1170.000000,1180.000000,1140.000000,1160.000000,1160.000000,125634200
2021-06-16,1160.000000,1160.000000,1130.000000,1135.000000,1135.000000,128832600
2021-06-17,1130.000000,1140.000000,1100.000000,1105.000000,1105.000000,142699000
2021-06-18,1100.000000,1100.000000,1050.000000,1060.000000,1060.000000,208025400
2021-06-21,1040.000000,1065.000000,1010.000000,1055.000000,1055.000000,204119900
2021-06-22,1070.000000,1080.000000,1045.000000,1055.000000,1055.000000,130826500
2021-06-23,1075.000000,1075.000000,1045.000000,1045.000000,1045.000000,92741900
2021-06-24,1045.000000,1050.000000,1010.000000,1020.000000,1020.000000,127231800
2021-06-25,1025.000000,1055.000000,1025.000000,1035.000000,1035.000000,129532100
2021-06-28,1040.000000,1045.000000,990.000000,990.000000,990.000000,134192000
2021-06-29,990.000000,1025.000000,990.000000,1000.000000,1000.000000,94039400
2021-06-30,1000.000000,1020.000000,995.000000,1005.000000,1005.000000,64810200
2021-07-01,1005.000000,1030.000000,1000.000000,1010.000000,1010.000000,69733400
2021-07-02,1020.000000,1045.000000,1010.000000,1035.000000,1035.000000,90224700
2021-07-05,1040.000000,1045.000000,1020.000000,1025.000000,1025.000000,57817200
2021-07-06,1025.000000,1050.000000,1010.000000,1040.000000,1040.000000,125471300
2021-07-07,1040.000000,1045.000000,1025.000000,1030.000000,1030.000000,59219700
