Date,Open,High,Low,Close,Adj Close,Volume
2016-10-18,2590.000000,2620.000000,2560.000000,2570.000000,2163.532471,31041800
2016-10-19,2570.000000,2580.000000,2480.000000,2500.000000,2104.603516,74439400
2016-10-20,2490.000000,2550.000000,2480.000000,2490.000000,2096.184814,37240500
2016-10-21,2480.000000,2510.000000,2440.000000,2440.000000,2054.092773,49147900
2016-10-24,2460.000000,2570.000000,2460.000000,2570.000000,2163.532471,55565800
2016-10-25,2600.000000,2620.000000,2570.000000,2600.000000,2188.787354,75216800
2016-10-26,2600.000000,2600.000000,2540.000000,2560.000000,2155.113770,30338000
2016-10-27,2580.000000,2580.000000,2530.000000,2550.000000,2146.695557,29009600
2016-10-28,2560.000000,2590.000000,2540.000000,2590.000000,2180.369141,25450300
2016-10-31,2580.000000,2590.000000,2560.000000,2560.000000,2155.113770,30321200
2016-11-01,2590.000000,2600.000000,2500.000000,2520.000000,2121.440430,30428200
2016-11-02,2520.000000,2530.000000,2450.000000,2460.000000,2070.929443,30822300
2016-11-03,2460.000000,2500.000000,2390.000000,2400.000000,2020.419312,34996500
2016-11-04,2400.000000,2490.000000,2380.000000,2470.000000,2079.348145,25225500
2016-11-07,2490.000000,2520.000000,2460.000000,2480.000000,2087.766602,23345500
2016-11-08,2510.000000,2520.000000,2480.000000,2490.000000,2096.184814,11180600
2016-11-09,2520.000000,2520.000000,2430.000000,2480.000000,2087.766602,22193700
2016-11-10,2500.000000,2520.000000,2470.000000,2510.000000,2113.021729,20262800
2016-11-11,2490.000000,2490.000000,2370.000000,2370.000000,1995.163818,36676400
2016-11-14,2350.000000,2350.000000,2260.000000,2270.000000,1910.979858,32576100
2016-11-15,2270.000000,2350.000000,2200.000000,2230.000000,1877.306152,27185200
2016-11-16,2280.000000,2360.000000,2260.000000,2350.000000,1978.327148,32255500
2016-11-17,2340.000000,2440.000000,2330.000000,2410.000000,2028.837769,25538000
2016-11-18,2410.000000,2430.000000,2340.000000,2390.000000,2012.000732,16850900
2016-11-21,2390.000000,2420.000000,2350.000000,2400.000000,2020.419312,20125900
2016-11-22,2400.000000,2520.000000,2400.000000,2520.000000,2121.440430,37387200
2016-11-23,2530.000000,2550.000000,2480.000000,2530.000000,2129.858643,28423100
2016-11-24,2530.000000,2530.000000,2470.000000,2490.000000,2096.184814,21584900
2016-11-25,2470.000000,2640.000000,2470.000000,2610.000000,2197.205811,63706100
2016-11-28,2610.000000,2650.000000,2570.000000,2620.000000,2205.624268,25267200
2016-11-29,2620.000000,2680.000000,2610.000000,2620.000000,2205.624268,21309300
2016-11-30,2640.000000,2690.000000,2620.000000,2650.000000,2230.879395,46404300
2016-12-01,2650.000000,2720.000000,2650.000000,2710.000000,2281.390137,32464400
2016-12-02,2700.000000,2730.000000,2670.000000,2710.000000,2281.390137,17234700
2016-12-05,2700.000000,2780.000000,2700.000000,2750.000000,2315.063721,23200200
2016-12-06,2780.000000,2870.000000,2780.000000,2830.000000,2382.411133,40255000
2016-12-07,2840.000000,2840.000000,2760.000000,2790.000000,2348.737549,15334900
2016-12-08,2800.000000,2840.000000,2730.000000,2840.000000,2390.829590,26887700
2016-12-09,2840.000000,2850.000000,2810.000000,2840.000000,2390.829590,13952300
2016-12-13,2840.000000,2930.000000,2830.000000,2920.000000,2458.176758,56314000
2016-12-14,2940.000000,2940.000000,2870.000000,2880.000000,2424.503174,17978900
2016-12-15,2840.000000,2870.000000,2800.000000,2800.000000,2357.155762,15601100
2016-12-16,2800.000000,2800.000000,2730.000000,2730.000000,2298.227051,24804100
2016-12-19,2740.000000,2760.000000,2670.000000,2690.000000,2264.553223,20310400
2016-12-20,2690.000000,2690.000000,2620.000000,2640.000000,2222.461182,16086700
2016-12-21,2650.000000,2660.000000,2580.000000,2580.000000,2171.950439,22315700
2016-12-22,2570.000000,2610.000000,2480.000000,2480.000000,2087.766602,37851000
2016-12-23,2470.000000,2580.000000,2460.000000,2520.000000,2121.440430,26056200
2016-12-27,2510.000000,2570.000000,2500.000000,2530.000000,2129.858643,15049200
2016-12-28,2540.000000,2670.000000,2540.000000,2640.000000,2222.461182,25616300
2016-12-29,2660.000000,2790.000000,2650.000000,2760.000000,2323.481934,35591200
2016-12-30,2770.000000,2800.000000,2700.000000,2700.000000,2272.971680,41122900
2017-01-02,2700.000000,2700.000000,2700.000000,2700.000000,2272.971680,0
2017-01-03,2700.000000,2830.000000,2650.000000,2820.000000,2373.992676,32054200
2017-01-04,2820.000000,2880.000000,2780.000000,2870.000000,2416.084229,44956500
2017-01-05,2850.000000,2900.000000,2810.000000,2860.000000,2407.666260,28591800
2017-01-06,2860.000000,2880.000000,2810.000000,2840.000000,2390.829590,13482700
2017-01-09,2850.000000,2880.000000,2740.000000,2760.000000,2323.481934,17384000
2017-01-10,2730.000000,2760.000000,2730.000000,2740.000000,2306.645264,10138900
2017-01-11,2750.000000,2820.000000,2750.000000,2800.000000,2357.155762,22227600
2017-01-12,2820.000000,2830.000000,2730.000000,2730.000000,2298.227051,8032800
2017-01-13,2750.000000,2790.000000,2730.000000,2760.000000,2323.481934,17050400
2017-01-16,2740.000000,2760.000000,2700.000000,2700.000000,2272.971680,13071300
2017-01-17,2690.000000,2720.000000,2670.000000,2670.000000,2247.716309,12120200
2017-01-18,2670.000000,2750.000000,2670.000000,2730.000000,2298.227051,12850200
2017-01-19,2740.000000,2750.000000,2690.000000,2720.000000,2289.808350,10644500
2017-01-20,2720.000000,2730.000000,2590.000000,2600.000000,2188.787354,25683900
2017-01-23,2620.000000,2640.000000,2580.000000,2580.000000,2171.950439,11832100
2017-01-24,2630.000000,2670.000000,2610.000000,2660.000000,2239.298340,18876500
2017-01-25,2710.000000,2710.000000,2630.000000,2650.000000,2230.879395,14298000
2017-01-26,2650.000000,2760.000000,2640.000000,2730.000000,2298.227051,27318000
2017-01-27,2730.000000,2800.000000,2700.000000,2800.000000,2357.155762,33292600
2017-01-30,2800.000000,2890.000000,2760.000000,2880.000000,2424.503174,51970800
2017-01-31,2880.000000,2890.000000,2840.000000,2880.000000,2424.503174,18094700
2017-02-01,2840.000000,2920.000000,2840.000000,2880.000000,2424.503174,25982500
2017-02-02,2850.000000,2920.000000,2850.000000,2870.000000,2416.084229,43269100
2017-02-03,2850.000000,2880.000000,2850.000000,2870.000000,2416.084229,20704100
2017-02-06,2890.000000,3020.000000,2860.000000,3010.000000,2533.942383,46170200
2017-02-07,3000.000000,3050.000000,2900.000000,2900.000000,2441.340088,38628800
2017-02-08,2900.000000,2940.000000,2770.000000,2830.000000,2382.411133,40827300
2017-02-09,2830.000000,2860.000000,2790.000000,2810.000000,2365.574219,25380500
2017-02-10,2840.000000,2850.000000,2780.000000,2820.000000,2373.992676,19738500
2017-02-13,2830.000000,2880.000000,2820.000000,2870.000000,2416.084229,12317200
2017-02-14,2900.000000,2900.000000,2800.000000,2800.000000,2357.155762,21133000
2017-02-15,2800.000000,2800.000000,2800.000000,2800.000000,2357.155762,0
2017-02-16,2840.000000,2860.000000,2810.000000,2830.000000,2382.411133,12705700
2017-02-17,2810.000000,2820.000000,2760.000000,2760.000000,2323.481934,11401000
2017-02-20,2760.000000,2780.000000,2680.000000,2690.000000,2264.553223,31905700
2017-02-21,2700.000000,2750.000000,2690.000000,2690.000000,2264.553223,20326900
2017-02-22,2700.000000,2720.000000,2680.000000,2690.000000,2264.553223,20313200
2017-02-23,2720.000000,2860.000000,2710.000000,2840.000000,2390.829590,88604500
2017-02-24,2840.000000,2890.000000,2760.000000,2860.000000,2407.666260,43946400
2017-02-27,2850.000000,2870.000000,2800.000000,2820.000000,2373.992676,24242800
2017-02-28,2820.000000,2840.000000,2810.000000,2830.000000,2382.411133,15925300
2017-03-01,2830.000000,2830.000000,2750.000000,2790.000000,2348.737549,21607200
2017-03-02,2790.000000,2820.000000,2770.000000,2770.000000,2331.900635,11264500
2017-03-03,2780.000000,2850.000000,2770.000000,2830.000000,2382.411133,14282700
2017-03-06,2810.000000,2830.000000,2790.000000,2830.000000,2382.411133,11680200
2017-03-07,2850.000000,2850.000000,2780.000000,2800.000000,2357.155762,11466300
2017-03-08,2780.000000,2810.000000,2740.000000,2740.000000,2306.645264,11374400
2017-03-09,2720.000000,2720.000000,2680.000000,2720.000000,2289.808350,19190800
2017-03-10,2740.000000,2760.000000,2700.000000,2710.000000,2281.390137,11506100
2017-03-13,2690.000000,2750.000000,2690.000000,2730.000000,2298.227051,12233900
